spice id,性別,年齢,発言回数,iQOS歴,LINE登録,LINE歴,ユーザーからの入力,判定,投稿日付,時間24H,確信度,リカバリ,カテゴリ,FSS,Intents番号,Watson回答,回答日時
6642988,M,47,1,31,2017/8/22 20:30,6,こちらでも、質問が可能であればお応え頂きたい。本体の不具合から、先日保証期間内という事で原宿店で本体ごと取り換えて頂きましたが、以前よりも１本吸う毎に、明らかに熱を持ちすぎてる様です。これは不具合とは関係ないのでしょうか？,対応不要会話,2018/7/12 14:48,14,,,,0,保証期間知りたい,IOQSキットの保証期間の確認について、ですね？基本的な保証期間はデバイスを購入された日から6か月間ですIQOS.jpへの会員登録と、ご購入されたIQOS本体の製品登録を行っていただく事により、ご購入いただいた本体の保証期間を1年間に延長する事が可能です♪製品登録は、「マイサポート」＞「製品登録」より、お願いいたします尚、ご自身の保証期間を確認したい場合は、お手数ですが、以下チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/12 14:48
512364956,F,40,2,13,2017/8/22 14:22,6,紛失,OK,2018/7/12 22:24,22,,,User support,0,紛失,カスタマーセンター、をお探しでしょうか？お問い合わせは、以下URLのチャット（自動応答）にてお願いいたしますhttps://goo.gl/gBa3DW私が回答できるかもしれませんので、よろしければ、ここで引き続き話しかけてみてくださいね,2018/7/12 22:24
515403103,M,56,1,4,2018/6/15 12:06,2,盗難しました,OK,2018/7/15 20:06,20,,,User support,0,紛失,カスタマーセンター、をお探しでしょうか？お問い合わせは、以下URLのチャット（自動応答）にてお願いいたしますhttps://goo.gl/gBa3DW私が回答できるかもしれませんので、よろしければ、ここで引き続き話しかけてみてくださいね,2018/7/15 20:06
4585347,M,38,14,35,2017/6/12 15:53,6,盗難,OK,2018/7/13 17:20,17,,,User support,0,紛失,カスタマーセンター、をお探しでしょうか？お問い合わせは、以下URLのチャット（自動応答）にてお願いいたしますhttps://goo.gl/gBa3DW私が回答できるかもしれませんので、よろしければ、ここで引き続き話しかけてみてくださいね,2018/7/13 17:20
508407901,F,42,4,18,2018/7/15 7:21,1,吸い込めなくなった,対応不要会話,2018/7/15 7:26,7,,,User support,0,紛失,カスタマーセンター、をお探しでしょうか？お問い合わせは、以下URLのチャット（自動応答）にてお願いいたしますhttps://goo.gl/gBa3DW私が回答できるかもしれませんので、よろしければ、ここで引き続き話しかけてみてくださいね,2018/7/15 7:26
508407901,F,42,4,18,2018/7/15 7:21,1,吸い込めなくなった,対応不要会話,2018/7/15 7:27,7,,,User support,0,紛失,カスタマーセンター、をお探しでしょうか？お問い合わせは、以下URLのチャット（自動応答）にてお願いいたしますhttps://goo.gl/gBa3DW私が回答できるかもしれませんので、よろしければ、ここで引き続き話しかけてみてくださいね,2018/7/15 7:27
8345342,M,33,2,27,2017/6/13 12:42,6,アイコス無くした,OK,2018/7/12 15:22,15,,,User support,0,紛失,カスタマーセンター、をお探しでしょうか？お問い合わせは、以下URLのチャット（自動応答）にてお願いいたしますhttps://goo.gl/gBa3DW私が回答できるかもしれませんので、よろしければ、ここで引き続き話しかけてみてくださいね,2018/7/12 15:22
514022719,M,32,2,10,2017/10/9 14:38,6,IQOS紛失,OK,2018/7/14 19:16,19,,,User support,0,紛失,カスタマーセンター、をお探しでしょうか？お問い合わせは、以下URLのチャット（自動応答）にてお願いいたしますhttps://goo.gl/gBa3DW私が回答できるかもしれませんので、よろしければ、ここで引き続き話しかけてみてくださいね,2018/7/14 19:16
7743551,M,37,1,29,2017/6/12 12:49,6,注文履歴,OK,2018/7/13 8:11,8,,,,0,注文履歴,注文履歴について、ですね？IQOSオンラインストアにてご注文いただいた商品は、以下よりご確認頂けます。（ログインが必要です）https://goo.gl/9tzMbR,2018/7/13 8:11
10781375,M,35,1,22,2017/6/9 10:56,6,注文履歴,OK,2018/7/13 13:38,13,,,,0,注文履歴,注文履歴について、ですね？IQOSオンラインストアにてご注文いただいた商品は、以下よりご確認頂けます。（ログインが必要です）https://goo.gl/9tzMbR,2018/7/13 13:38
7743551,M,37,1,29,2017/6/12 12:49,6,注文履歴,OK,2018/7/14 1:20,1,,,,0,注文履歴,注文履歴について、ですね？IQOSオンラインストアにてご注文いただいた商品は、以下よりご確認頂けます。（ログインが必要です）https://goo.gl/9tzMbR,2018/7/14 1:20
509988331,M,43,1,15,2017/9/19 9:22,6,設定,対応不要会話,2018/7/13 18:42,18,,,,0,知りたい情報の設定,知りたい情報を設定できる方法があるのを知っていましたか？設定はこちらからhttps://line.iqosphere.jp/knowledge/preference今後のメッセージ配信の参考にさせていただきます,2018/7/13 18:42
513138156,M,44,4,12,2017/8/12 16:34,6,設定,対応不要会話,2018/7/14 10:50,10,,,,0,知りたい情報の設定,知りたい情報を設定できる方法があるのを知っていましたか？設定はこちらからhttps://line.iqosphere.jp/knowledge/preference今後のメッセージ配信の参考にさせていただきます,2018/7/14 10:50
513138156,M,44,4,12,2017/8/12 16:34,6,設定,対応不要会話,2018/7/14 11:16,11,,,,0,知りたい情報の設定,知りたい情報を設定できる方法があるのを知っていましたか？設定はこちらからhttps://line.iqosphere.jp/knowledge/preference今後のメッセージ配信の参考にさせていただきます,2018/7/14 11:16
514851934,M,43,1,7,2018/1/2 11:59,6,小籔さんのお説教動画「『カルピスソーダ』のシュワっとほぐしたろか」配信中！思わずクスッとくるお説教動画であなたもシュワっとほぐれてね！動画を見るだけで応募可能な「LINEポイント」プレゼントキャンペーンも開催中！※このメッセージはアサヒ飲料のキャンペーンメッセージですhttps://goo.gl/EEXsxL,広告,2018/7/13 22:50,22,,,,0,知りたい情報の設定,"━━━━━━━━IQOS愛用者数500万人達成記念━━━━━━━━レーシングの世界観からインスピレーションを得てデザインされた、特別な一台が販売開始IQOS Motor Editionメーカー希望小売価格IQOS 2.4Plus キット Motor Edition 11,980円IQOS カートレイ Motor Edition 3,980円IQOS レザークリップ Motor Edition 2,980円ご好評により、IQOSオンラインストアではMotor Edition各種が売切れとなりました残り僅かではございますが、一部IQOSストアではご購入可能ですので是非この機会にお買い求めくださいませ※販売はお一人様一台までとさせていただきます。※無くなり次第終了となります",2018/7/13 22:50
516131493,F,38,3,1,2018/7/12 19:31,1,受信できるようにしていますが、表示されません,対応不要会話,2018/7/12 19:49,19,,,,0,知りたい情報の設定,知りたい情報を設定できる方法があるのを知っていましたか？設定はこちらからhttps://line.iqosphere.jp/knowledge/preference今後のメッセージ配信の参考にさせていただきます,2018/7/12 19:49
511676641,F,50,13,14,2017/6/8 21:54,6,位置情報を設定し直したい,対応不要会話,2018/7/12 18:46,18,,,,0,知りたい情報の設定,知りたい情報を設定できる方法があるのを知っていましたか？設定はこちらからhttps://line.iqosphere.jp/knowledge/preference今後のメッセージ配信の参考にさせていただきます,2018/7/12 18:46
511676641,F,50,13,14,2017/6/8 21:54,6,位置情報の設定はどこでやるの？,対応不要会話,2018/7/12 18:45,18,,,,0,知りたい情報の設定,知りたい情報を設定できる方法があるのを知っていましたか？設定はこちらからhttps://line.iqosphere.jp/knowledge/preference今後のメッセージ配信の参考にさせていただきます,2018/7/12 18:45
516130076,F,44,2,1,2018/7/12 12:12,1,ドメイン指定設定をしているので、受信許可をする場合は、@mail.iqos.jpを許可すればいいのですか？@前のアドレスは無くてよろしいのでしょうか？,対応不要会話,2018/7/13 12:33,12,,,,0,知りたい情報の設定,知りたい情報を設定できる方法があるのを知っていましたか？設定はこちらからhttps://line.iqosphere.jp/knowledge/preference今後のメッセージ配信の参考にさせていただきます,2018/7/13 12:33
516130847,M,51,6,1,2018/7/12 16:27,1,ドメイン指定受信設定しました。PINコード再送お願いします,OK,2018/7/12 21:19,21,,,,0,知りたい情報の設定,PINコードについて、ですね？PINコードとは、お客様のメールアドレスもしくは電話番号を確認する際に、必要な認証コードです認証の際、PINコードが届かないようでしたら、大変お手数ですが、カスタマーセンターまで、ご連絡をお願いいたします▼チャットでのお問合せhttps://goo.gl/1uqmDR　また、ドメインの指定受信などを設定されている場合は、「@mail.iqos.jp」からのメールの受信を許可していただきますよう、設定変更をお願いします。,2018/7/12 21:19
511676641,F,50,13,14,2017/6/8 21:54,6,だから…位置情報が設定し直せない,対応不要会話,2018/7/12 22:52,22,,,,0,知りたい情報の設定,知りたい情報を設定できる方法があるのを知っていましたか？設定はこちらからhttps://line.iqosphere.jp/knowledge/preference今後のメッセージ配信の参考にさせていただきます,2018/7/12 22:52
514635265,M,23,2,8,2017/12/6 23:27,6,30.7.15(日)ひめ23歳誕生日おめでとう産まれてきてくれてありがとう俺と付き合ってくれて本当にありがとう本当に姫女のこと大好きで一緒にいる時凄く幸せだよ自慢じゃないけど迷惑かけるのは俺の方だからなこれからも大切にするからずっと隣にいてください,対応不要会話,2018/7/14 7:56,7,,,Natural Conversations,0,誕生日_仮,おめでとうございます！,2018/7/14 7:56
12948747,M,47,2,19,2017/6/13 7:36,6,登録解除,OK,2018/7/12 18:53,18,,,User support,0,退会,退会について、アカウントの削除を希望する際は下記にご連絡くださいhttps://goo.gl/gBa3DW,2018/7/12 18:53
516115380,M,62,4,1,2018/7/8 8:38,1,登録解除,OK,2018/7/15 0:51,0,,,User support,0,退会,退会について、アカウントの削除を希望する際は下記にご連絡くださいhttps://goo.gl/gBa3DW,2018/7/15 0:51
513081708,M,62,1,12,2017/8/8 16:25,6,退会手続きしたい,OK,2018/7/12 17:15,17,,,User support,0,退会,退会について、アカウントの削除を希望する際は下記にご連絡くださいhttps://goo.gl/gBa3DW,2018/7/12 17:15
514516237,M,37,1,8,2017/11/21 18:22,6,退会,OK,2018/7/12 15:58,15,,,User support,0,退会,退会について、アカウントの削除を希望する際は下記にご連絡くださいhttps://goo.gl/gBa3DW,2018/7/12 15:58
509099678,F,65,2,17,2017/6/9 17:34,6,出来る人、間違えた招待私がしたのを退会させて下さいやり方忘れた,OK,2018/7/14 12:45,12,,,User support,0,退会,退会について、アカウントの削除を希望する際は下記にご連絡くださいhttps://goo.gl/gBa3DW,2018/7/14 12:45
509840362,F,35,1,16,2017/11/7 20:28,6,削除,OK,2018/7/13 8:12,8,,,User support,0,退会,退会について、アカウントの削除を希望する際は下記にご連絡くださいhttps://goo.gl/gBa3DW,2018/7/13 8:12
515951796,M,39,1,2,2018/5/27 14:49,2,解約したい,OK,2018/7/15 20:57,20,,,User support,0,退会,退会について、アカウントの削除を希望する際は下記にご連絡くださいhttps://goo.gl/gBa3DW,2018/7/15 20:57
514819901,F,52,4,7,2017/12/28 18:10,6,やめる,OK,2018/7/14 9:03,9,,,User support,0,退会,退会について、アカウントの削除を希望する際は下記にご連絡くださいhttps://goo.gl/gBa3DW,2018/7/14 9:03
514819901,F,52,4,7,2017/12/28 18:10,6,やめる,OK,2018/7/14 9:05,9,,,User support,0,退会,退会について、アカウントの削除を希望する際は下記にご連絡くださいhttps://goo.gl/gBa3DW,2018/7/14 9:05
514765353,M,40,1,7,2017/12/21 16:34,6,やめる,OK,2018/7/14 12:02,12,,,User support,0,退会,退会について、アカウントの削除を希望する際は下記にご連絡くださいhttps://goo.gl/gBa3DW,2018/7/14 12:02
516099844,F,54,2,1,2018/7/5 21:42,1,やめる,OK,2018/7/14 14:56,14,,,User support,0,退会,退会について、アカウントの削除を希望する際は下記にご連絡くださいhttps://goo.gl/gBa3DW,2018/7/14 14:56
515388404,F,55,2,4,2018/5/4 7:27,3,やめる,OK,2018/7/14 20:56,20,,,User support,0,退会,退会について、アカウントの削除を希望する際は下記にご連絡くださいhttps://goo.gl/gBa3DW,2018/7/14 20:56
8708603,M,54,4,27,2018/6/16 17:06,1,やめる,OK,2018/7/15 11:10,11,,,User support,0,退会,退会について、アカウントの削除を希望する際は下記にご連絡くださいhttps://goo.gl/gBa3DW,2018/7/15 11:10
514434587,M,41,1,9,2017/11/12 20:05,6,デバイス登録解除,NG,2018/7/15 18:41,18,,,User support,0,退会,退会について、アカウントの削除を希望する際は下記にご連絡くださいhttps://goo.gl/gBa3DW,2018/7/15 18:41
3117734,M,40,1,162,2018/4/8 2:00,4,アカウント削除,OK,2018/7/15 19:16,19,,,User support,0,退会,退会について、アカウントの削除を希望する際は下記にご連絡くださいhttps://goo.gl/gBa3DW,2018/7/15 19:16
516123022,F,30,2,1,2018/7/10 15:08,1,アカウントの削除をお願いします。,OK,2018/7/12 16:38,16,,,User support,0,退会,退会について、アカウントの削除を希望する際は下記にご連絡くださいhttps://goo.gl/gBa3DW,2018/7/12 16:38
516123022,F,30,2,1,2018/7/10 15:08,1,アカウントの削除,OK,2018/7/12 18:58,18,,,User support,0,退会,退会について、アカウントの削除を希望する際は下記にご連絡くださいhttps://goo.gl/gBa3DW,2018/7/12 18:58
511632192,M,24,37,14,2017/12/11 23:00,6,明日暇？,対応不要会話,2018/7/14 14:54,14,,,,0,暑い,「My IQOS Life (育成ゲーム)」について、ですね？「My IQOS Life(育成ゲーム)」では、あなただけのパートナーを育てながら、楽しくIQOS SPOTを探すことができます詳しくは下の画像をスライドしてみてください♪,2018/7/14 14:54
516131361,M,23,4,1,2018/7/12 20:24,1,本体あつい,対応不要会話,2018/7/12 21:40,21,,,,0,暑い,暑くなりましたねお天気が良いとお出かけしたい気分ですね。IQOSが使える場所は、メニューの「My IQOS Life (育成ゲーム)」にて、ナビゲーターを育てながら楽しく探すことができます外にお出かけの際は、IQOSが使える場所も探しに出かけてみてはいかがでしょう♪また、60度以上の暑い場所をIQOSは苦手とします（故障の原因となることもあります）車内への置き忘れ等ご注意ください,2018/7/12 21:40
4691149,,60,1,35,2017/11/23 10:59,6,夏の月 https://music.dmkt-sp.jp/?ac=3380100008,広告,2018/7/12 16:45,16,,,,0,暑い,暑くなりましたねお天気が良いとお出かけしたい気分ですね。IQOSが使える場所は、メニューの「My IQOS Life (育成ゲーム)」にて、ナビゲーターを育てながら楽しく探すことができます外にお出かけの際は、IQOSが使える場所も探しに出かけてみてはいかがでしょう♪また、60度以上の暑い場所をIQOSは苦手とします（故障の原因となることもあります）車内への置き忘れ等ご注意ください,2018/7/12 16:45
516131361,M,23,4,1,2018/7/12 20:24,1,あつい,OK,2018/7/12 21:40,21,,,,0,暑い,暑くなりましたねお天気が良いとお出かけしたい気分ですね。IQOSが使える場所は、メニューの「My IQOS Life (育成ゲーム)」にて、ナビゲーターを育てながら楽しく探すことができます外にお出かけの際は、IQOSが使える場所も探しに出かけてみてはいかがでしょう♪また、60度以上の暑い場所をIQOSは苦手とします（故障の原因となることもあります）車内への置き忘れ等ご注意ください,2018/7/12 21:40
515984108,M,20,1,2,2018/6/5 19:15,2,はるちゃん誕生日おめでとうまだ知り合ってそんな経ってないけど、そんなの関係ないくらい楽しいし色んなもの貰ってて感謝で一杯だよもっとはるちゃんのこと色々知っていきたいって思うから出来ればこれからも仲良くしてくれたら嬉しいっす♂この一年はるちゃんがいっぱい笑えるような楽しいものになるように願ってます,対応不要会話,2018/7/12 23:59,23,,,,0,春,春ですね 暖かく過ごしやすくなってきたから、お出かけしたい気分ですね。IQOSが使える場所は、メニューの「IQOS SPOTを探す」にてご案内しています外にお出かけの際は、IQOSが使える場所も探しに出かけてみてはいかがでしょう♪,2018/7/12 23:59
3816318,M,41,12,122,2018/2/16 1:12,5,はらたつ,対応不要会話,2018/7/15 21:07,21,1,,,0,春,メッセージいただき、ありがとうございます。いただきました内容について、今は答えを持ち合わせておりません。。。もっと学習していきますので、また話しかけていただけるとうれしいです♪,2018/7/15 21:07
514402549,M,50,1,9,2017/11/9 17:29,6,はら,対応不要会話,2018/7/12 15:46,15,1,,,0,春,メッセージいただき、ありがとうございます。いただきました内容について、今は答えを持ち合わせておりません。。。もっと学習していきますので、また話しかけていただけるとうれしいです♪,2018/7/12 15:46
6124215,M,34,2,32,2017/8/29 19:53,6,はっ,対応不要会話,2018/7/13 22:42,22,1,,,0,春,メッセージいただき、ありがとうございます。いただきました内容について、今は答えを持ち合わせておりません。。。もっと学習していきますので、また話しかけていただけるとうれしいです♪,2018/7/13 22:42
13052133,M,33,1,18,2018/1/18 15:32,6,かく,対応不要会話,2018/7/12 14:13,14,1,,,0,春,メッセージいただき、ありがとうございます。いただきました内容について、今は答えを持ち合わせておりません。。。もっと学習していきますので、また話しかけていただけるとうれしいです♪,2018/7/12 14:13
513323627,M,62,1,11,2017/8/24 17:57,6,かいが,対応不要会話,2018/7/12 20:17,20,,,,0,春,春ですね 暖かく過ごしやすくなってきたから、お出かけしたい気分ですね。IQOSが使える場所は、メニューの「IQOS SPOTを探す」にてご案内しています外にお出かけの際は、IQOSが使える場所も探しに出かけてみてはいかがでしょう♪,2018/7/12 20:17
508326216,M,47,20,18,2017/6/10 11:50,6,放電出来ないので、ホントに捨てれません。マジメ廃棄方法に答えて下さい！,対応不要会話,2018/7/13 23:49,23,,,,0,捨てたい,IQOSの処分でしょうか？処分したいIQOSについては、住んでいる自治体のルールにしたがって、処分をお願いしますIQOSが不調の場合は、下記のリンクより「デバイス診断」されることをお勧めします。https://line.iqosphere.jp/sso/iqosjp?to=index.php%3Fdispatch%3Dmydevices.list,2018/7/13 23:49
508326216,M,47,20,18,2017/6/10 11:50,6,捨てる方法だけを教えて下さい。,対応不要会話,2018/7/13 23:31,23,,,,0,捨てたい,IQOSの処分でしょうか？処分したいIQOSについては、住んでいる自治体のルールにしたがって、処分をお願いしますIQOSが不調の場合は、下記のリンクより「デバイス診断」されることをお勧めします。https://line.iqosphere.jp/sso/iqosjp?to=index.php%3Fdispatch%3Dmydevices.list,2018/7/13 23:31
508326216,M,47,20,18,2017/6/10 11:50,6,残念。廃棄処分も受付られないとは。わざわざ大阪まで行ったのに本当残念。アイコス、さよなら。,対応不要会話,2018/7/13 23:01,23,,,,0,捨てたい,IQOSの処分でしょうか？処分したいIQOSについては、住んでいる自治体のルールにしたがって、処分をお願いしますIQOSが不調の場合は、下記のリンクより「デバイス診断」されることをお勧めします。https://line.iqosphere.jp/sso/iqosjp?to=index.php%3Fdispatch%3Dmydevices.list,2018/7/13 23:01
508326216,M,47,20,18,2017/6/10 11:50,6,何で梅田のショップまで行ったのに処分してくれないの？電車代返せ！,対応不要会話,2018/7/13 23:33,23,,,,0,捨てたい,IQOSの処分でしょうか？処分したいIQOSについては、住んでいる自治体のルールにしたがって、処分をお願いしますIQOSが不調の場合は、下記のリンクより「デバイス診断」されることをお勧めします。https://line.iqosphere.jp/sso/iqosjp?to=index.php%3Fdispatch%3Dmydevices.list,2018/7/13 23:33
508326216,M,47,20,18,2017/6/10 11:50,6,何でPL法に法って、生産者に廃棄してもらいに行ったのに…,対応不要会話,2018/7/13 23:53,23,,,,0,捨てたい,IQOSの処分でしょうか？処分したいIQOSについては、住んでいる自治体のルールにしたがって、処分をお願いしますIQOSが不調の場合は、下記のリンクより「デバイス診断」されることをお勧めします。https://line.iqosphere.jp/sso/iqosjp?to=index.php%3Fdispatch%3Dmydevices.list,2018/7/13 23:53
513517864,M,52,4,11,2017/9/2 13:54,6,わかりましたがカートン買いでひとつだけはいらないです,対応不要会話,2018/7/14 21:32,21,,,,0,捨てたい,IQOSの処分でしょうか？処分したいIQOSについては、住んでいる自治体のルールにしたがって、処分をお願いしますIQOSが不調の場合は、下記のリンクより「デバイス診断」されることをお勧めします。https://line.iqosphere.jp/sso/iqosjp?to=index.php%3Fdispatch%3Dmydevices.list,2018/7/14 21:32
508326216,M,47,20,18,2017/6/10 11:50,6,なめてる？こちらは真面目に処分方法考えてるのに,対応不要会話,2018/7/13 23:07,23,,,,0,捨てたい,IQOSの処分でしょうか？処分したいIQOSについては、住んでいる自治体のルールにしたがって、処分をお願いしますIQOSが不調の場合は、下記のリンクより「デバイス診断」されることをお勧めします。https://line.iqosphere.jp/sso/iqosjp?to=index.php%3Fdispatch%3Dmydevices.list,2018/7/13 23:07
514195312,F,46,3,9,2017/10/22 16:00,6,刃がかけた,OK,2018/7/14 22:27,22,1,1,Claims,0,固い,故障について、ですね？大変、ご迷惑をおかけしております。お手数ですが、まずは、オンラインでの故障診断をお願いします。▼IQOSの故障/不具合については、オンライン診断から交換もできますよ。https://goo.gl/uQveqS▼診断がうまくいかない場合は、チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/14 22:27
4585347,M,38,14,35,2017/6/12 15:53,6,刺さらない,OK,2018/7/13 17:11,17,,,Claims,0,固い,故障について、ですね？大変、ご迷惑をおかけしております。お手数ですが、まずは、オンラインでの故障診断をお願いします。▼IQOSの故障/不具合については、オンライン診断から交換もできますよ。https://goo.gl/uQveqS▼診断がうまくいかない場合は、チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/13 17:11
508326216,M,47,20,18,2017/6/10 11:50,6,終わり,対応不要会話,2018/7/13 23:49,23,,,,0,吸い終わり,吸い終わりについて、ですね？IQOSは1本あたり約6分間、または14回吸い込むまでお楽しみいただけます以下合図の後、残り30秒、または2回吸い込むまで楽しむことができ、その後自動的に電源オフになります。IQOS2.4：オレンジ色のライトが点灯IQOS2.4Plus：白色のライトが点滅し、バイブレーターが動作また、故障の原因となりますので、たばこスティックはキャップをスライドしてから、まっすぐに取り出してくださいね吸い終えたたばこスティックは、通常のゴミと同じように廃棄してください。IQOS専用のトレイもありますので是非使ってみてくださいね,2018/7/13 23:49
511264643,M,57,6,14,2017/6/13 6:46,6,毎回遅すぎ！,対応不要会話,2018/7/12 17:22,17,,,Natural Conversations,0,寒い,体調崩さないように、気をつけてくださいね。なお、IQOSは10度以下の寒い場所を苦手としますので、寒い場所ではデバイスを手などで温めてご使用ください。,2018/7/12 17:22
4964050,M,32,1,33,2017/6/21 23:29,6,日本版「司法取引」初合意　海外贈賄疑惑でhttps://www.ytv.co.jp/press/society/10964.html,広告,2018/7/14 21:53,21,,,Natural Conversations,0,海外,海外への持ち込みや使用について、ですね？IQOS等の加熱式たばこの持ち込み及び使用についての規制や、たばこ製品の免税範囲は国によって違うので渡航する際は事前にチェックしましょう！ちなみに空港内の免税店でたばこスティックを買う場合、カートン販売のみとなります。気をつけて行ってらっしゃい♪,2018/7/14 21:53
