ß,性別,年齢,発言回数,iQOS歴,LINE登録,LINE歴,ユーザーからの入力,判定,投稿日付,時間24H,確信度,リカバリ,カテゴリ,FSS,Intents番号,Watson回答,回答日時
512253149,F,33,6,13,2018/4/12 17:51,3,私のアイコス保証期間いつまで？,OK,2018/7/7 9:37,9,,,,0,保証期間知りたい,IOQSキットの保証期間の確認について、ですね？基本的な保証期間はデバイスを購入された日から6か月間ですIQOS.jpへの会員登録と、ご購入されたIQOS本体の製品登録を行っていただく事により、ご購入いただいた本体の保証期間を1年間に延長する事が可能です♪製品登録は、「マイサポート」＞「製品登録」より、お願いいたします尚、ご自身の保証期間を確認したい場合は、お手数ですが、以下チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/7 9:37
9381603,M,42,1,25,2017/7/2 23:58,6,今日またホルダーのプレゼントが届きました！いつもありがとうございますちょうど保証期間が過ぎたモノが調子が悪くなって来てるのでとても有り難いプレゼントですありがとうございます新商品のイエローメンソールも早速愛煙していますよ,対応不要会話,2018/7/5 19:02,19,,,,0,保証期間知りたい,IQOS専用のたばこスティックの新フレーバーについて、ですね？IQOSでは、爽快な味わいのイエローメンソールが新登場！是非新たな味わいをお試しください,2018/7/5 19:02
10506092,F,38,3,23,2016/12/23 21:02,6,何故こんなに急に壊れるのですか？正直保証期間過ぎたからと新しいのを買うのなら元のタバコに戻した方がコストはかからない気しかないです。製品登録した物は、保証期間を伸ばして頂きたいです。問題は使う側ではなく、製品の耐久性によるものと思われます。,対応不要会話,2018/7/8 21:10,21,,,,0,保証期間知りたい,IQOS専用のたばこスティックに関して、ですねIQOSでは、9つの幅広いラインナップからお好みの味わいを楽しむことができます爽快メンソールのイエローメンソールが新登場！もしまだ好みの味わいが見つからないなら、IQOSのたばこスティックだと「メンソールやミントが好き」というIQOSユーザーも多いようです合わないと諦める前に、他の味を試してみるのもいいかもしれません※本広告に記載されている製品名の「SMOOTH」並びに本製品の性質・状態を表す「スムース」の表現は、本製品の健康に及ぼす悪影響が他製品と比べて小さいことを意味するものではありません。,2018/7/8 21:10
508462542,M,31,2,17,2018/1/6 11:57,6,クリエイト届く期間,対応不要会話,2018/7/7 8:01,8,,,,0,保証期間知りたい,IOQSキットの保証期間の確認について、ですね？基本的な保証期間はデバイスを購入された日から6か月間ですIQOS.jpへの会員登録と、ご購入されたIQOS本体の製品登録を行っていただく事により、ご購入いただいた本体の保証期間を1年間に延長する事が可能です♪製品登録は、「マイサポート」＞「製品登録」より、お願いいたします尚、ご自身の保証期間を確認したい場合は、お手数ですが、以下チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/7 8:01
514370424,M,20,2,9,2017/12/11 7:16,6,紛失した,OK,2018/7/5 14:43,14,,,User support,0,紛失,カスタマーセンター、をお探しでしょうか？お問い合わせは、以下URLのチャット（自動応答）にてお願いいたしますhttps://goo.gl/gBa3DW私が回答できるかもしれませんので、よろしければ、ここで引き続き話しかけてみてくださいね,2018/7/5 14:43
513541636,M,33,1,11,2017/9/4 0:08,6,紛失,OK,2018/7/7 10:03,10,,,User support,0,紛失,カスタマーセンター、をお探しでしょうか？お問い合わせは、以下URLのチャット（自動応答）にてお願いいたしますhttps://goo.gl/gBa3DW私が回答できるかもしれませんので、よろしければ、ここで引き続き話しかけてみてくださいね,2018/7/7 10:03
514579477,F,36,2,8,2017/11/28 19:49,6,紛失,OK,2018/7/8 21:58,21,,,User support,0,紛失,カスタマーセンター、をお探しでしょうか？お問い合わせは、以下URLのチャット（自動応答）にてお願いいたしますhttps://goo.gl/gBa3DW私が回答できるかもしれませんので、よろしければ、ここで引き続き話しかけてみてくださいね,2018/7/8 21:58
513805106,M,29,1,10,2017/9/23 10:27,6,スティック無くしたんやが？,OK,2018/7/6 21:44,21,,,User support,0,紛失,カスタマーセンター、をお探しでしょうか？お問い合わせは、以下URLのチャット（自動応答）にてお願いいたしますhttps://goo.gl/gBa3DW私が回答できるかもしれませんので、よろしければ、ここで引き続き話しかけてみてくださいね,2018/7/6 21:44
8152256,F,38,2,28,2017/8/14 13:50,6,注文履歴,OK,2018/7/7 20:51,20,,,,0,注文履歴,注文履歴について、ですね？IQOSオンラインストアにてご注文いただいた商品は、以下よりご確認頂けます。（ログインが必要です）https://goo.gl/9tzMbR,2018/7/7 20:51
516110373,M,41,14,1,2018/7/7 17:47,1,それ，人気過ぎて売り切れが多い,対応不要会話,2018/7/7 17:52,17,1,,,0,知りたい情報の設定,知りたい情報を設定できる方法があるのを知っていましたか？設定はこちらからhttps://line.iqosphere.jp/knowledge/preference今後のメッセージ配信の参考にさせていただきます,2018/7/7 17:52
514810794,M,23,7,7,2018/3/11 12:57,4,お誕生日おめでとめいわくかけられるけどでも、そんなとこも良しとりあえず良い１年にね,対応不要会話,2018/7/7 6:19,6,,,Natural Conversations,0,誕生日_仮,おめでとうございます！,2018/7/7 6:19
514810794,M,23,7,7,2018/3/11 12:57,4,お誕生日おめでとめいわくかけられるけどでも、そんなとこも良しとりあえず良い１年に,対応不要会話,2018/7/7 6:18,6,,,Natural Conversations,0,誕生日_仮,おめでとうございます！,2018/7/7 6:18
514810794,M,23,7,7,2018/3/11 12:57,4,お誕生日おめでとめいわくかけられるけどでも、そんなとこも良しとりあえず良い１年に,対応不要会話,2018/7/7 6:19,6,,,Natural Conversations,0,誕生日_仮,おめでとうございます！,2018/7/7 6:19
514810794,M,23,7,7,2018/3/11 12:57,4,お誕生日おめでとめいわくかけられるけどでも、そんなとこも良しとりあえず今年も良い１年にしてね,対応不要会話,2018/7/7 6:18,6,,,Natural Conversations,0,誕生日_仮,今日は土曜日です！,2018/7/7 6:18
514810794,M,23,7,7,2018/3/11 12:57,4,お誕生日おめでとめいわくかけられるけどでも、そんなとこも良しとりあえず、今年も良い１年にしてね,対応不要会話,2018/7/7 6:17,6,,,Natural Conversations,0,誕生日_仮,今日は土曜日です！,2018/7/7 6:17
514810794,M,23,7,7,2018/3/11 12:57,4,お誕生日おめでとめいわくかけられるけどでも、そんなとこも良しとりあえず、今年も良い１年に,対応不要会話,2018/7/7 6:18,6,,,Natural Conversations,0,誕生日_仮,今日は土曜日です！,2018/7/7 6:18
514810794,M,23,7,7,2018/3/11 12:57,4,お誕生日おめでと(おめでとう)めいわくかけられるけどでも、そんなとこも良し,対応不要会話,2018/7/7 6:16,6,,,Natural Conversations,0,誕生日_仮,おめでとうございます！,2018/7/7 6:16
508713177,F,22,1,17,2017/10/21 17:03,6,登録解除,OK,2018/7/7 7:05,7,,,User support,0,退会,退会について、アカウントの削除を希望する際は下記にご連絡くださいhttps://goo.gl/gBa3DW,2018/7/7 7:05
7723671,F,43,2,29,2017/6/9 21:25,6,端末削除,NG,2018/7/8 12:29,12,,,User support,0,退会,退会について、アカウントの削除を希望する際は下記にご連絡くださいhttps://goo.gl/gBa3DW,2018/7/8 12:29
515511329,F,43,41,4,2018/4/3 10:40,4,退会,インナーテスト,2018/7/6 10:27,10,,,User support,0,退会,退会について、アカウントの削除を希望する際は下記にご連絡くださいhttps://goo.gl/gBa3DW,2018/7/6 10:27
515511329,F,43,41,4,2018/4/3 10:40,4,退会,インナーテスト,2018/7/6 10:31,10,,,User support,0,退会,退会について、アカウントの削除を希望する際は下記にご連絡くださいhttps://goo.gl/gBa3DW,2018/7/6 10:31
515511329,F,43,41,4,2018/4/3 10:40,4,退会,インナーテスト,2018/7/6 10:50,10,,,User support,0,退会,退会について、アカウントの削除を希望する際は下記にご連絡くださいhttps://goo.gl/gBa3DW,2018/7/6 10:50
4730293,M,25,18,35,2018/1/30 14:59,6,退会,インナーテスト,2018/7/6 11:06,11,,,User support,0,退会,退会について、アカウントの削除を希望する際は下記にご連絡くださいhttps://goo.gl/gBa3DW,2018/7/6 11:06
510726689,F,26,1,15,2018/1/19 9:12,6,製品登録解除をしたい,NG,2018/7/7 3:39,3,,,User support,0,退会,退会について、アカウントの削除を希望する際は下記にご連絡くださいhttps://goo.gl/gBa3DW,2018/7/7 3:39
8472170,M,43,3,27,2018/4/18 14:56,3,製品登録解除,NG,2018/7/5 20:20,20,,,User support,0,退会,退会について、アカウントの削除を希望する際は下記にご連絡ください。※メニューの「マイサポート」から「チャットで解決」にご連絡をお願いします。,2018/7/5 20:20
515259850,M,32,1,5,2018/3/5 4:45,5,製品登録の解除,NG,2018/7/8 20:14,20,,,User support,0,退会,退会について、アカウントの削除を希望する際は下記にご連絡くださいhttps://goo.gl/gBa3DW,2018/7/8 20:14
4196723,F,43,2,105,2017/6/9 13:09,6,製品の削除,NG,2018/7/5 0:57,0,,,User support,0,退会,退会について、アカウントの削除を希望する際は下記にご連絡ください。※メニューの「マイサポート」から「チャットで解決」にご連絡をお願いします。,2018/7/5 0:57
4196723,F,43,2,105,2017/6/9 13:09,6,以前のように簡単に製品を削除できるようにして欲しい頂いたものやあげたものなどの場合もあるので、今やもうグチャグチャなんですけど…,NG,2018/7/5 1:12,1,,,User support,0,退会,退会について、アカウントの削除を希望する際は下記にご連絡ください。※メニューの「マイサポート」から「チャットで解決」にご連絡をお願いします。,2018/7/5 1:12
509011794,F,29,2,16,2017/6/16 11:54,6,デバイス削除,NG,2018/7/5 11:56,11,,,User support,0,退会,退会について、アカウントの削除を希望する際は下記にご連絡ください。※メニューの「マイサポート」から「チャットで解決」にご連絡をお願いします。,2018/7/5 11:56
513060567,M,44,1,12,2017/8/9 18:04,6,カートを削除,対応不要会話,2018/7/6 18:27,18,,,User support,0,退会,退会について、アカウントの削除を希望する際は下記にご連絡くださいhttps://goo.gl/gBa3DW,2018/7/6 18:27
514429241,M,42,8,8,2017/11/12 6:56,6,アカウント削除しろ,OK,2018/7/6 20:22,20,,,User support,0,退会,退会について、アカウントの削除を希望する際は下記にご連絡くださいhttps://goo.gl/gBa3DW,2018/7/6 20:22
514429241,M,42,8,8,2017/11/12 6:56,6,アカウント削除してくれ,OK,2018/7/6 20:21,20,,,User support,0,退会,退会について、アカウントの削除を希望する際は下記にご連絡くださいhttps://goo.gl/gBa3DW,2018/7/6 20:21
514429241,M,42,8,8,2017/11/12 6:56,6,アカウント削除,OK,2018/7/6 20:19,20,,,User support,0,退会,退会について、アカウントの削除を希望する際は下記にご連絡くださいhttps://goo.gl/gBa3DW,2018/7/6 20:20
509011794,F,29,2,16,2017/6/16 11:54,6,IQOSデバイス削除したい,NG,2018/7/5 11:56,11,,,User support,0,退会,退会について、アカウントの削除を希望する際は下記にご連絡ください。※メニューの「マイサポート」から「チャットで解決」にご連絡をお願いします。,2018/7/5 11:56
4405399,M,60,3,52,2017/11/29 8:38,6,買ったので知っています送料無しでお願いします。,対応不要会話,2018/7/7 10:48,10,,,,0,送料について,IQOSオンラインストアの送料について、ですね？送料は一律540円ですが、長期不在等でお受け取りいただけなかった場合、発送センターへの送料は地域により異なりますので、詳しくは以下URLよりご確認下さいhttps://goo.gl/iiqiih,2018/7/7 10:48
10493132,F,49,1,23,2017/6/13 1:13,6,送料,OK,2018/7/8 17:50,17,,,,0,送料について,IQOSオンラインストアの送料について、ですね？送料は一律540円ですが、長期不在等でお受け取りいただけなかった場合、発送センターへの送料は地域により異なりますので、詳しくは以下URLよりご確認下さいhttps://goo.gl/iiqiih,2018/7/8 17:50
4405399,M,60,3,52,2017/11/29 8:38,6,オンラインだと送料が出るので1箱買えるしアイコスストアーまで遠いのですが,対応不要会話,2018/7/7 10:46,10,,,,0,送料について,IQOSオンラインストアの送料について、ですね？送料は一律540円ですが、長期不在等でお受け取りいただけなかった場合、発送センターへの送料は地域により異なりますので、詳しくは以下URLよりご確認下さいhttps://goo.gl/iiqiih,2018/7/7 10:46
4353784,M,48,1,58,2017/6/18 20:11,6,暑い,OK,2018/7/5 21:39,21,,,,0,暑い,暑くなりましたねお天気が良いとお出かけしたい気分ですね。IQOSが使える場所は、メニューの「My IQOS Life (育成ゲーム)」にて、ナビゲーターを育てながら楽しく探すことができます外にお出かけの際は、IQOSが使える場所も探しに出かけてみてはいかがでしょう♪また、60度以上の暑い場所をIQOSは苦手とします（故障の原因となることもあります）車内への置き忘れ等ご注意ください,2018/7/5 21:39
10314320,F,32,5,23,2017/6/12 21:53,6,あつい,OK,2018/7/5 21:26,21,,,,0,暑い,暑くなりましたねお天気が良いとお出かけしたい気分ですね。IQOSが使える場所は、メニューの「My IQOS Life (育成ゲーム)」にて、ナビゲーターを育てながら楽しく探すことができます外にお出かけの際は、IQOSが使える場所も探しに出かけてみてはいかがでしょう♪また、60度以上の暑い場所をIQOSは苦手とします（故障の原因となることもあります）車内への置き忘れ等ご注意ください,2018/7/5 21:26
514242548,M,71,5,9,2017/10/26 11:42,6,IQOSをヒートスティックに差しても吸引できない物があった。,対応不要会話,2018/7/6 11:49,11,1,,,0,春,IQOS専用のたばこスティックに関して、ですねIQOSでは、9つの幅広いラインナップからお好みの味わいを楽しむことができます爽快メンソールのイエローメンソールが新登場！もしまだ好みの味わいが見つからないなら、IQOSのたばこスティックだと「メンソールやミントが好き」というIQOSユーザーも多いようです合わないと諦める前に、他の味を試してみるのもいいかもしれません※本広告に記載されている製品名の「SMOOTH」並びに本製品の性質・状態を表す「スムース」の表現は、本製品の健康に及ぼす悪影響が他製品と比べて小さいことを意味するものではありません。,2018/7/6 11:49
515027846,M,47,4,6,2018/2/3 0:18,6,終了,対応不要会話,2018/7/8 21:49,21,1,,,0,捨てたい,IQOSの処分でしょうか？処分したいIQOSについては、住んでいる自治体のルールにしたがって、処分をお願いしますIQOSが不調の場合は、下記のリンクより「デバイス診断」されることをお勧めします。https://line.iqosphere.jp/sso/iqosjp?to=index.php%3Fdispatch%3Dmydevices.list,2018/7/8 21:49
4963705,M,47,3,32,2017/8/10 10:01,6,もう捨てる,OK,2018/7/5 22:54,22,,,,0,捨てたい,IQOSの処分でしょうか？処分したいIQOSについては、住んでいる自治体のルールにしたがって、処分をお願いしますIQOSが不調の場合は、下記のリンクより「デバイス診断」されることをお勧めします。https://line.iqosphere.jp/sso/iqosjp?to=index.php%3Fdispatch%3Dmydevices.list,2018/7/5 22:54
508512925,F,46,1,17,2017/6/9 19:00,6,最近刺さらないのが多い,OK,2018/7/7 19:19,19,,,Claims,0,固い,故障について、ですね？大変、ご迷惑をおかけしております。お手数ですが、まずは、オンラインでの故障診断をお願いします。▼IQOSの故障/不具合については、オンライン診断から交換もできますよ。https://goo.gl/uQveqS▼診断がうまくいかない場合は、チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/7 19:19
515077866,M,42,1,6,2018/2/4 11:01,6,一箱に必ずといっていいほど1本か2本は硬い葉が混じっててまともに吸えないのがあるのいい加減にしろ,OK,2018/7/7 14:17,14,,,Claims,0,固い,故障について、ですね？大変、ご迷惑をおかけしております。お手数ですが、まずは、オンラインでの故障診断をお願いします。▼IQOSの故障/不具合については、オンライン診断から交換もできますよ。https://goo.gl/uQveqS▼診断がうまくいかない場合は、チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/7 14:17
515077866,M,42,3,6,2018/2/4 11:01,6,一箱に必ずといっていいほど1本か2本は硬い葉が混じっててまともに吸えないのがあるのいい加減にしろ,OK,2018/7/8 0:25,0,,,Claims,0,固い,故障について、ですね？大変、ご迷惑をおかけしております。お手数ですが、まずは、オンラインでの故障診断をお願いします。▼IQOSの故障/不具合については、オンライン診断から交換もできますよ。https://goo.gl/uQveqS▼診断がうまくいかない場合は、チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/8 0:25
515077866,M,42,3,6,2018/2/4 11:01,6,一箱に必ずといっていいほど1本か2本は硬い葉が混じっててまともに吸えないのがあるのいい加減にしろ,OK,2018/7/8 0:25,0,,,Claims,0,固い,故障について、ですね？大変、ご迷惑をおかけしております。お手数ですが、まずは、オンラインでの故障診断をお願いします。▼IQOSの故障/不具合については、オンライン診断から交換もできますよ。https://goo.gl/uQveqS▼診断がうまくいかない場合は、チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/8 0:25
515077866,M,42,3,6,2018/2/4 11:01,6,一箱に必ずといっていいほど1本か2本は硬い葉が混じっててまともに吸えないのがあるのいい加減にしろ,OK,2018/7/8 0:25,0,,,Claims,0,固い,故障について、ですね？大変、ご迷惑をおかけしております。お手数ですが、まずは、オンラインでの故障診断をお願いします。▼IQOSの故障/不具合については、オンライン診断から交換もできますよ。https://goo.gl/uQveqS▼診断がうまくいかない場合は、チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/8 0:25
515541997,M,34,2,4,2018/4/6 16:43,4,まともに刺さらないタバコがある,OK,2018/7/7 16:18,16,,,Claims,0,固い,故障について、ですね？大変、ご迷惑をおかけしております。お手数ですが、まずは、オンラインでの故障診断をお願いします。▼IQOSの故障/不具合については、オンライン診断から交換もできますよ。https://goo.gl/uQveqS▼診断がうまくいかない場合は、チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/7 16:19
515541997,M,34,2,4,2018/4/6 16:43,4,まともに刺さらないHeat stickがある,OK,2018/7/7 16:22,16,,,Claims,0,固い,故障について、ですね？大変、ご迷惑をおかけしております。お手数ですが、まずは、オンラインでの故障診断をお願いします。▼IQOSの故障/不具合については、オンライン診断から交換もできますよ。https://goo.gl/uQveqS▼診断がうまくいかない場合は、チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/7 16:22
514634787,F,41,2,8,2018/5/4 11:09,3,ヒートスティックが刺さりにくい時の解決策,OK,2018/7/8 11:31,11,,,Claims,0,固い,故障について、ですね？大変、ご迷惑をおかけしております。お手数ですが、まずは、オンラインでの故障診断をお願いします。▼IQOSの故障/不具合については、オンライン診断から交換もできますよ。https://goo.gl/uQveqS▼診断がうまくいかない場合は、チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/8 11:31
510049105,M,42,3,15,2017/7/7 16:37,6,タバコが刺さらない,OK,2018/7/5 1:20,1,,,Claims,0,固い,故障について、ですね？大変、ご迷惑をおかけしております。お手数ですが、まずは、オンラインでの故障診断をお願いします。▼IQOSの故障/不具合については、オンライン診断から交換もできますよ。https://line.iqosphere.jp/sso/iqosjp?to=index.php%3Fdispatch%3Dmydevices.list▼診断がうまくいかない場合は、こちらからお問合せできます。https://line.iqosphere.jp/sso/iqosjp?to=contact-us.html,2018/7/5 1:20
513923079,M,44,9,10,2017/10/1 16:56,6,生理いつ,対応不要会話,2018/7/7 14:05,14,1,,,0,吸い終わり,メッセージいただき、ありがとうございます。いただきました内容について、今は答えを持ち合わせておりません。。。もっと学習していきますので、また話しかけていただけるとうれしいです♪,2018/7/7 14:05
515511329,F,43,41,4,2018/4/3 10:40,4,吸い終わり,インナーテスト,2018/7/6 10:26,10,,,,0,吸い終わり,吸い終わりについて、ですね？IQOSは1本あたり約6分間、または14回吸い込むまでお楽しみいただけます以下合図の後、残り30秒、または2回吸い込むまで楽しむことができ、その後自動的に電源オフになります。IQOS2.4：オレンジ色のライトが点灯IQOS2.4Plus：白色のライトが点滅し、バイブレーターが動作また、故障の原因となりますので、たばこスティックはキャップをスライドしてから、まっすぐに取り出してくださいね吸い終えたたばこスティックは、通常のゴミと同じように廃棄してください。IQOS専用のトレイもありますので是非使ってみてくださいね,2018/7/6 10:26
515511329,F,43,41,4,2018/4/3 10:40,4,吸い終わり,インナーテスト,2018/7/6 10:31,10,,,,0,吸い終わり,吸い終わりについて、ですね？IQOSは1本あたり約6分間、または14回吸い込むまでお楽しみいただけます以下合図の後、残り30秒、または2回吸い込むまで楽しむことができ、その後自動的に電源オフになります。IQOS2.4：オレンジ色のライトが点灯IQOS2.4Plus：白色のライトが点滅し、バイブレーターが動作また、故障の原因となりますので、たばこスティックはキャップをスライドしてから、まっすぐに取り出してくださいね吸い終えたたばこスティックは、通常のゴミと同じように廃棄してください。IQOS専用のトレイもありますので是非使ってみてくださいね,2018/7/6 10:31
515511329,F,43,41,4,2018/4/3 10:40,4,吸い終わり,インナーテスト,2018/7/6 10:50,10,,,,0,吸い終わり,吸い終わりについて、ですね？IQOSは1本あたり約6分間、または14回吸い込むまでお楽しみいただけます以下合図の後、残り30秒、または2回吸い込むまで楽しむことができ、その後自動的に電源オフになります。IQOS2.4：オレンジ色のライトが点灯IQOS2.4Plus：白色のライトが点滅し、バイブレーターが動作また、故障の原因となりますので、たばこスティックはキャップをスライドしてから、まっすぐに取り出してくださいね吸い終えたたばこスティックは、通常のゴミと同じように廃棄してください。IQOS専用のトレイもありますので是非使ってみてくださいね,2018/7/6 10:50
4730293,M,25,18,35,2018/1/30 14:59,6,吸い終わり,インナーテスト,2018/7/6 11:06,11,,,,0,吸い終わり,吸い終わりについて、ですね？IQOSは1本あたり約6分間、または14回吸い込むまでお楽しみいただけます以下合図の後、残り30秒、または2回吸い込むまで楽しむことができ、その後自動的に電源オフになります。IQOS2.4：オレンジ色のライトが点灯IQOS2.4Plus：白色のライトが点滅し、バイブレーターが動作また、故障の原因となりますので、たばこスティックはキャップをスライドしてから、まっすぐに取り出してくださいね吸い終えたたばこスティックは、通常のゴミと同じように廃棄してください。IQOS専用のトレイもありますので是非使ってみてくださいね,2018/7/6 11:06
515856275,F,24,3,3,2018/5/9 3:21,3,本体,対応不要会話,2018/7/8 19:57,19,,,,0,価格,"価格について、ですね？2018年6月1日より、IQOS愛用者数500万人達成を記念して、IQOS 2.4Plus キットのメーカー希望小売価格を10,980円から7,980円に改定いたしました※IQOS 2.4Plus キットの3,000円オフキャンペーンは、2018年5月31日をもって終了いたしましたまたIQOSは、IQOSオンラインストアでもご購入いただけます♪",2018/7/8 19:57
