spice id,性別,年齢,発言回数,iQOS歴,LINE登録,LINE歴,ユーザーからの入力,判定,投稿日付,時間24H,確信度,リカバリ,Intents番号,Watson回答,回答日時
513989576,M,32,3,5,2017/10/6 20:24,5,アカウント削除,OK,2018/2/7 22:45,22,,,退会,退会について、アカウントの削除を希望する際は下記にご連絡ください。※メニューの「マイサポート」から「お問い合わせ」にご連絡をお願いします。,2018/2/7 22:45
514976900,M,20,1,1,2018/1/20 21:23,1,刺さりにくい,OK,2018/2/6 23:06,23,,,固い,故障について、ですね？大変、ご迷惑をおかけしております。お手数ですが、まずは、オンラインでの故障診断をお願いします。▼IQOSの故障/不具合については、オンライン診断から交換もできますよ。https://line.iqosphere.jp/sso/iqosjp?to=index.php%3Fdispatch%3Dmydevices.list▼診断がうまくいかない場合は、こちらからお問合せできます。https://line.iqosphere.jp/sso/iqosjp?to=contact-us.html,2018/2/6 23:06
513362740,F,48,1,6,2017/8/27 20:52,6,ホルダーが硬い,OK,2018/2/7 22:29,22,,,固い,故障について、ですね？大変、ご迷惑をおかけしております。お手数ですが、まずは、オンラインでの故障診断をお願いします。▼IQOSの故障/不具合については、オンライン診断から交換もできますよ。https://line.iqosphere.jp/sso/iqosjp?to=index.php%3Fdispatch%3Dmydevices.list▼診断がうまくいかない場合は、こちらからお問合せできます。https://line.iqosphere.jp/sso/iqosjp?to=contact-us.html,2018/2/7 22:29
514891814,F,43,2,2,2018/1/8 10:40,2,ヒートスティックがささらない,OK,2018/2/7 22:00,22,,,固い,故障について、ですね？大変、ご迷惑をおかけしております。お手数ですが、まずは、オンラインでの故障診断をお願いします。▼IQOSの故障/不具合については、オンライン診断から交換もできますよ。https://line.iqosphere.jp/sso/iqosjp?to=index.php%3Fdispatch%3Dmydevices.list▼診断がうまくいかない場合は、こちらからお問合せできます。https://line.iqosphere.jp/sso/iqosjp?to=contact-us.html,2018/2/7 22:00
510183541,M,49,3,10,2017/6/11 17:15,6,寒いから,OK,2018/2/6 18:42,18,,,寒い,とても寒くなりましたね。体調崩さないように、気をつけてくださいね。なお、IQOSは10度以下の寒い場所を苦手としますので、寒い場所ではデバイスを手などで温めてご使用ください。,2018/2/6 18:42
2660560,M,56,2,76,2017/9/7 12:21,6,From: IQOSチーム <info@mail.iqos.jp>日付: 2018年02月05日 18:30件名: 【単品販売スタート】 2本目のIQOSホルダーを、その手に。To: 9katukatu11@ezweb.ne.jp <9katukatu11@ezweb.ne.jp>,対応不要会話,2018/2/6 2:11,2,,,何日,IQOS 2.4Plus初の限定モデル・ダークレッド（RUBY)が、数量限定で新登場！マットな質感のダークレッドとゴールドの洗練されたツートンカラーで、IQOSスタイルをエレガントに彩ろう！購入はこちらから！https://line.iqosphere.jp/sso/iqosjp?to=store,2018/2/6 2:11
508319007,F,59,9,13,2017/6/16 12:33,6,９０日はとっくに過ぎています。,対応不要会話,2018/2/7 17:58,17,,,何日,メッセージいただき、ありがとうございます。いただきました内容について、今は答えを持ち合わせておりません。。。もっと学習していきますので、また話しかけていただけるとうれしいです♪もし、IQOSが楽しめるSPOT/お店をお探しの場合は、画面下の「メニューはこちら」の「IQOSライフを知る・楽しむ」を押して「IQOSが使える場所」からタップして検索できますよ！,2018/2/7 17:58
515089517,M,20,4,1,2018/2/6 2:29,1,30日,対応不要会話,2018/2/7 4:21,4,,,何日,メッセージいただき、ありがとうございます。いただきました内容について、今は答えを持ち合わせておりません。。。もっと学習していきますので、また話しかけていただけるとうれしいです♪もし、IQOSが楽しめるSPOT/お店をお探しの場合は、画面下の「メニューはこちら」の「IQOSライフを知る・楽しむ」を押して「IQOSが使える場所」からタップして検索できますよ！,2018/2/7 4:21
515092099,M,23,1,1,2018/2/6 18:43,1,マイコス,OK,2018/2/6 18:44,18,,,マイコス_仮,IQOSのカスタマイズについて、ですね？せっかくなら、「自分だけのIQOS」を手にしたいですよね。IQOSphereには、多種多様なカスタマイズが実現できる機能があります！楽しみ方は無限大。あなただけのIQOSにカスタマイズしてみましょう！▼もっと自分らしく、もっと自由に,2018/2/6 18:44
515083767,M,21,1,1,2018/2/5 13:21,1,マイコス,OK,2018/2/6 20:00,20,,,マイコス_仮,IQOSのカスタマイズについて、ですね？せっかくなら、「自分だけのIQOS」を手にしたいですよね。IQOSphereには、多種多様なカスタマイズが実現できる機能があります！楽しみ方は無限大。あなただけのIQOSにカスタマイズしてみましょう！▼もっと自分らしく、もっと自由に,2018/2/6 20:00
515093118,M,54,2,1,2018/2/6 20:56,1,マイコス,OK,2018/2/6 21:01,21,,,マイコス_仮,IQOSのカスタマイズについて、ですね？せっかくなら、「自分だけのIQOS」を手にしたいですよね。IQOSphereには、多種多様なカスタマイズが実現できる機能があります！楽しみ方は無限大。あなただけのIQOSにカスタマイズしてみましょう！▼もっと自分らしく、もっと自由に,2018/2/6 21:01
515093213,M,27,2,1,2018/2/6 21:16,1,マイコス,OK,2018/2/6 21:56,21,,,マイコス_仮,IQOSのカスタマイズについて、ですね？せっかくなら、「自分だけのIQOS」を手にしたいですよね。IQOSphereには、多種多様なカスタマイズが実現できる機能があります！楽しみ方は無限大。あなただけのIQOSにカスタマイズしてみましょう！▼もっと自分らしく、もっと自由に,2018/2/6 21:56
514683471,F,31,1,2,2018/2/1 21:19,1,マイコス,OK,2018/2/6 23:08,23,,,マイコス_仮,IQOSのカスタマイズについて、ですね？せっかくなら、「自分だけのIQOS」を手にしたいですよね。IQOSphereには、多種多様なカスタマイズが実現できる機能があります！楽しみ方は無限大。あなただけのIQOSにカスタマイズしてみましょう！▼もっと自分らしく、もっと自由に,2018/2/6 23:08
515093730,M,40,1,1,2018/2/6 23:21,1,マイコス,OK,2018/2/7 0:08,0,,,マイコス_仮,IQOSのカスタマイズについて、ですね？せっかくなら、「自分だけのIQOS」を手にしたいですよね。IQOSphereには、多種多様なカスタマイズが実現できる機能があります！楽しみ方は無限大。あなただけのIQOSにカスタマイズしてみましょう！▼もっと自分らしく、もっと自由に,2018/2/7 0:08
7277961,F,25,1,25,2018/2/7 0:16,1,マイコス,OK,2018/2/7 0:27,0,,,マイコス_仮,IQOSのカスタマイズについて、ですね？せっかくなら、「自分だけのIQOS」を手にしたいですよね。IQOSphereには、多種多様なカスタマイズが実現できる機能があります！楽しみ方は無限大。あなただけのIQOSにカスタマイズしてみましょう！▼もっと自分らしく、もっと自由に,2018/2/7 0:27
515085660,M,20,1,1,2018/2/7 21:33,1,マイコス,OK,2018/2/7 21:33,21,,,マイコス_仮,IQOSのカスタマイズについて、ですね？せっかくなら、「自分だけのIQOS」を手にしたいですよね。IQOSphereには、多種多様なカスタマイズが実現できる機能があります！楽しみ方は無限大。あなただけのIQOSにカスタマイズしてみましょう！▼もっと自分らしく、もっと自由に,2018/2/7 21:33
515097519,M,26,1,1,2018/2/7 21:57,1,マイコス,OK,2018/2/7 22:02,22,,,マイコス_仮,IQOSのカスタマイズについて、ですね？せっかくなら、「自分だけのIQOS」を手にしたいですよね。IQOSphereには、多種多様なカスタマイズが実現できる機能があります！楽しみ方は無限大。あなただけのIQOSにカスタマイズしてみましょう！▼もっと自分らしく、もっと自由に,2018/2/7 22:02
9372120,M,23,2,20,2018/2/7 23:06,1,マイコス,OK,2018/2/7 23:07,23,,,マイコス_仮,IQOSのカスタマイズについて、ですね？せっかくなら、「自分だけのIQOS」を手にしたいですよね。IQOSphereには、多種多様なカスタマイズが実現できる機能があります！楽しみ方は無限大。あなただけのIQOSにカスタマイズしてみましょう！▼もっと自分らしく、もっと自由に,2018/2/7 23:07
8234244,F,36,2,22,2017/9/21 3:18,5,バレンタイン限定のセットはまだ店頭にあるか、来店予約する前に確認出来ますか？,OK,2018/2/7 2:48,2,,,バレンタイン,もう、バレンタインのシーズンですね,2018/2/7 2:48
10529538,M,29,1,17,2017/6/12 19:56,6,バレンタイン,OK,2018/2/6 16:34,16,,,バレンタイン,もう、バレンタインのシーズンですね,2018/2/6 16:34
511222735,M,46,1,9,2017/7/9 15:29,6,バレンタイン,OK,2018/2/6 19:10,19,,,バレンタイン,もう、バレンタインのシーズンですね,2018/2/6 19:10
8870937,M,52,4,21,2017/6/14 18:03,6,抽選,OK,2018/2/6 7:15,7,,,97,抽選結果、気になりますよね。応募が毎日殺到しており、多くのみなさまにお届けできていないのは心苦しいですが、当選された方からはうれしい声が届いています！応募した賞品の当選結果を確認するにはこちらから！▼賞品（PRIZE）その場で抽選結果が分かります。PRIZE履歴でもチェック可能！https://line.iqosphere.jp/sso/iqosphere?to=myaccount%2Fapply-history▼REMIX当選された方のみにメールでお知らせします。※ 当選された場合、当選日から3週間以内に配送先の住所の確定（登録完了）が必要です。完了しなかった場合には、当選権利は失効となりますので、ご注意ください。▼7LIMITED HOLDERS当選された方のみにLINEでお知らせしています。,2018/2/6 7:15
514043465,F,41,1,4,2017/10/11 11:45,4,抽選,OK,2018/2/7 16:43,16,,,97,抽選結果、気になりますよね。応募が毎日殺到しており、多くのみなさまにお届けできていないのは心苦しいですが、当選された方からはうれしい声が届いています！応募した賞品の当選結果を確認するにはこちらから！▼賞品（PRIZE）その場で抽選結果が分かります。PRIZE履歴でもチェック可能！https://line.iqosphere.jp/sso/iqosphere?to=myaccount%2Fapply-history▼REMIX当選された方のみにメールでお知らせします。※ 当選された場合、当選日から3週間以内に配送先の住所の確定（登録完了）が必要です。完了しなかった場合には、当選権利は失効となりますので、ご注意ください。▼7LIMITED HOLDERS当選された方のみにLINEでお知らせしています。,2018/2/7 16:43
515069475,F,40,4,1,2018/2/3 10:44,1,ユーザ名の確認,OK,2018/2/7 16:58,16,,,97,抽選結果、気になりますよね。応募が毎日殺到しており、多くのみなさまにお届けできていないのは心苦しいですが、当選された方からはうれしい声が届いています！応募した賞品の当選結果を確認するにはこちらから！▼賞品（PRIZE）その場で抽選結果が分かります。PRIZE履歴でもチェック可能！https://line.iqosphere.jp/sso/iqosphere?to=myaccount%2Fapply-history▼REMIX当選された方のみにメールでお知らせします。※ 当選された場合、当選日から3週間以内に配送先の住所の確定（登録完了）が必要です。完了しなかった場合には、当選権利は失効となりますので、ご注意ください。▼7LIMITED HOLDERS当選された方のみにLINEでお知らせしています。,2018/2/7 16:58
4187561,M,48,1,38,2017/6/9 20:58,6,デバイス確認,OK,2018/2/6 18:34,18,,,97,抽選結果、気になりますよね。応募が毎日殺到しており、多くのみなさまにお届けできていないのは心苦しいですが、当選された方からはうれしい声が届いています！応募した賞品の当選結果を確認するにはこちらから！▼賞品（PRIZE）その場で抽選結果が分かります。PRIZE履歴でもチェック可能！https://line.iqosphere.jp/sso/iqosphere?to=myaccount%2Fapply-history▼REMIX当選された方のみにメールでお知らせします。※ 当選された場合、当選日から3週間以内に配送先の住所の確定（登録完了）が必要です。完了しなかった場合には、当選権利は失効となりますので、ご注意ください。▼7LIMITED HOLDERS当選された方のみにLINEでお知らせしています。,2018/2/6 18:34
13334717,,57,4,13,2017/11/9 9:25,3,話せるの？,OK,2018/2/6 11:06,11,,,96,パワーアップしたのですが、、まだまだ勉強中で答えられないこともあるかもしれませんが、ちょっと話しかけてみてください,2018/2/6 11:06
8805153,F,37,1,21,2017/8/16 19:55,6,質問,OK,2018/2/7 0:56,0,,,96,パワーアップしたのですが、、まだまだ勉強中で答えられないこともあるかもしれませんが、ちょっと話しかけてみてください,2018/2/7 0:56
8647637,M,41,19,22,2017/10/3 22:07,5,学習せーよ,OK,2018/2/7 22:16,22,,,96,パワーアップしたのですが、、まだまだ勉強中で答えられないこともあるかもしれませんが、ちょっと話しかけてみてください,2018/2/7 22:16
512763007,F,25,6,7,2018/2/7 20:37,1,なんかもらえるんですか？,OK,2018/2/7 23:43,23,,,96,パワーアップしたのですが、、まだまだ勉強中で答えられないこともあるかもしれませんが、ちょっと話しかけてみてください,2018/2/7 23:43
515094759,F,57,12,1,2018/2/7 11:04,1,どの様に設定するのでしょうか,OK,2018/2/7 13:19,13,,,96,パワーアップしたのですが、、まだまだ勉強中で答えられないこともあるかもしれませんが、ちょっと話しかけてみてください,2018/2/7 13:19
3107451,M,52,1,62,2017/6/14 10:50,6,この箱はなんでしょうか？,OK,2018/2/6 9:34,9,,,96,パワーアップしたのですが、、まだまだ勉強中で答えられないこともあるかもしれませんが、ちょっと話しかけてみてください,2018/2/6 9:34
510519561,M,37,5,10,2017/7/9 6:35,6,きいてる質問も違ってて意味わからん,OK,2018/2/6 19:08,19,,,96,パワーアップしたのですが、、まだまだ勉強中で答えられないこともあるかもしれませんが、ちょっと話しかけてみてください,2018/2/6 19:08
515083767,M,21,2,1,2018/2/5 13:21,1,アンケート,対応不要会話,2018/2/7 11:45,11,1,,96,メッセージいただき、ありがとうございます。いただきました内容について、今は答えを持ち合わせておりません。。。もっと学習していきますので、また話しかけていただけるとうれしいです♪もし、IQOSが楽しめるSPOT/お店をお探しの場合は、画面下の「メニューはこちら」の「IQOSライフを知る・楽しむ」を押して「IQOSが使える場所」からタップして検索できますよ！,2018/2/7 11:45
514950595,M,20,2,1,2018/1/31 2:32,1,IQOSの喫煙時間,OK,2018/2/7 16:10,16,,,95,"IQOSを使用できるお店やスポットをお探しですか？IQOSが使えるオススメのお店は、メニューの「IQOSをもっと知りたい」を押して「IQOSが使える場所」から検索できますよ（ログインが必要です）https://line.iqosphere.jp/sso/iqosphere?to=spot%2FIQOS SPOTは現在、約4,000件今年はもっと増やします！汗",2018/2/7 16:10
510519561,M,37,5,10,2017/7/9 6:35,6,変更方法は？,OK,2018/2/6 19:04,19,,,94,「会員情報/My Account」についてお困りでしょうか？「マイアカウント」では、お客様の登録情報の確認と変更、メール配信の設定が可能です。なお、メールアドレスを変更されてもログインIDは変更されませんので、ログインの際はご注意下さい。https://line.iqosphere.jp/sso/iqosjp?to=my-iqos（ログインが必要です）その他の問い合わせはカスタマーセンターまで、ご連絡をお願いいたします。▼chatでのお問合せhttps://customercenter-in.iqos.jp/#!/,2018/2/6 19:04
513989576,M,32,3,5,2017/10/6 20:24,5,配信停止,OK,2018/2/7 22:35,22,,,94,「会員情報/My Account」についてお困りでしょうか？「マイアカウント」では、お客様の登録情報の確認と変更、メール配信の設定が可能です。なお、メールアドレスを変更されてもログインIDは変更されませんので、ログインの際はご注意下さい。https://line.iqosphere.jp/sso/iqosjp?to=my-iqos（ログインが必要です）その他の問い合わせはカスタマーセンターまで、ご連絡をお願いいたします。▼chatでのお問合せhttps://customercenter-in.iqos.jp/#!/,2018/2/7 22:35
515097432,F,22,1,1,2018/2/7 19:48,1,住所登録,OK,2018/2/7 20:43,20,,,94,「会員情報/My Account」についてお困りでしょうか？「マイアカウント」では、お客様の登録情報の確認と変更、メール配信の設定が可能です。なお、メールアドレスを変更されてもログインIDは変更されませんので、ログインの際はご注意下さい。https://line.iqosphere.jp/sso/iqosjp?to=my-iqos（ログインが必要です）その他の問い合わせはカスタマーセンターまで、ご連絡をお願いいたします。▼chatでのお問合せhttps://customercenter-in.iqos.jp/#!/,2018/2/7 20:43
514868482,M,46,1,2,2018/1/4 19:57,2,住所はどうなった？,OK,2018/2/7 21:17,21,,,94,「会員情報/My Account」についてお困りでしょうか？「マイアカウント」では、お客様の登録情報の確認と変更、メール配信の設定が可能です。なお、メールアドレスを変更されてもログインIDは変更されませんので、ログインの際はご注意下さい。https://line.iqosphere.jp/sso/iqosjp?to=my-iqos（ログインが必要です）その他の問い合わせはカスタマーセンターまで、ご連絡をお願いいたします。▼chatでのお問合せhttps://customercenter-in.iqos.jp/#!/,2018/2/7 21:17
10784060,F,33,2,17,2017/9/3 15:31,6,受信許可するアドレス,OK,2018/2/7 19:17,19,,,94,「会員情報/My Account」についてお困りでしょうか？「マイアカウント」では、お客様の登録情報の確認と変更、メール配信の設定が可能です。なお、メールアドレスを変更されてもログインIDは変更されませんので、ログインの際はご注意下さい。https://line.iqosphere.jp/sso/iqosjp?to=my-iqos（ログインが必要です）その他の問い合わせはカスタマーセンターまで、ご連絡をお願いいたします。▼chatでのお問合せhttps://customercenter-in.iqos.jp/#!/,2018/2/7 19:17
9237987,F,58,3,21,2017/6/26 21:30,6,氏名変更について,OK,2018/2/6 23:34,23,,,94,「会員情報/My Account」についてお困りでしょうか？「マイアカウント」では、お客様の登録情報の確認と変更、メール配信の設定が可能です。なお、メールアドレスを変更されてもログインIDは変更されませんので、ログインの際はご注意下さい。https://line.iqosphere.jp/sso/iqosjp?to=my-iqos（ログインが必要です）その他の問い合わせはカスタマーセンターまで、ご連絡をお願いいたします。▼chatでのお問合せhttps://customercenter-in.iqos.jp/#!/,2018/2/6 23:34
11008709,F,45,2,17,2018/2/5 14:59,1,メールアドレス変更,OK,2018/2/6 18:40,18,,,94,「会員情報/My Account」についてお困りでしょうか？「マイアカウント」では、お客様の登録情報の確認と変更、メール配信の設定が可能です。なお、メールアドレスを変更されてもログインIDは変更されませんので、ログインの際はご注意下さい。https://line.iqosphere.jp/sso/iqosjp?to=my-iqos（ログインが必要です）その他の問い合わせはカスタマーセンターまで、ご連絡をお願いいたします。▼chatでのお問合せhttps://customercenter-in.iqos.jp/#!/,2018/2/6 18:40
509364604,,37,1,11,2017/6/9 20:27,6,メールアドレス変更,OK,2018/2/7 14:30,14,,,94,「会員情報/My Account」についてお困りでしょうか？「マイアカウント」では、お客様の登録情報の確認と変更、メール配信の設定が可能です。なお、メールアドレスを変更されてもログインIDは変更されませんので、ログインの際はご注意下さい。https://line.iqosphere.jp/sso/iqosjp?to=my-iqos（ログインが必要です）その他の問い合わせはカスタマーセンターまで、ご連絡をお願いいたします。▼chatでのお問合せhttps://customercenter-in.iqos.jp/#!/,2018/2/7 14:30
515094212,M,21,3,1,2018/2/7 4:14,1,マイサポ,OK,2018/2/7 6:13,6,,,94,「会員情報/My Account」についてお困りでしょうか？「マイアカウント」では、お客様の登録情報の確認と変更、メール配信の設定が可能です。なお、メールアドレスを変更されてもログインIDは変更されませんので、ログインの際はご注意下さい。https://line.iqosphere.jp/sso/iqosjp?to=my-iqos（ログインが必要です）その他の問い合わせはカスタマーセンターまで、ご連絡をお願いいたします。▼chatでのお問合せhttps://customercenter-in.iqos.jp/#!/,2018/2/7 6:13
2354551,M,37,3,38,2018/2/6 9:41,1,マイアカウントにアイコスの購入日が表示されません,OK,2018/2/6 10:11,10,,,94,「会員情報/My Account」についてお困りでしょうか？「マイアカウント」では、お客様の登録情報の確認と変更、メール配信の設定が可能です。なお、メールアドレスを変更されてもログインIDは変更されませんので、ログインの際はご注意下さい。https://line.iqosphere.jp/sso/iqosjp?to=my-iqos（ログインが必要です）その他の問い合わせはカスタマーセンターまで、ご連絡をお願いいたします。▼chatでのお問合せhttps://customercenter-in.iqos.jp/#!/,2018/2/6 10:11
3113327,F,52,1,62,2017/8/3 17:41,6,マイアイコス,OK,2018/2/7 16:54,16,,,94,「会員情報/My Account」についてお困りでしょうか？「マイアカウント」では、お客様の登録情報の確認と変更、メール配信の設定が可能です。なお、メールアドレスを変更されてもログインIDは変更されませんので、ログインの際はご注意下さい。https://line.iqosphere.jp/sso/iqosjp?to=my-iqos（ログインが必要です）その他の問い合わせはカスタマーセンターまで、ご連絡をお願いいたします。▼chatでのお問合せhttps://customercenter-in.iqos.jp/#!/,2018/2/7 16:54
509133564,M,38,1,11,2017/6/21 8:21,6,ホルダーの交換を発注したんですが、住所を間違えている可能性があります。住所は、愛媛県松山山越5丁目9-10ハチゴビル201号です。ご確認お願いいたします。わかり次第、ご返事お願いいたします。 ,OK,2018/2/7 11:02,11,,,94,「会員情報/My Account」についてお困りでしょうか？「マイアカウント」では、お客様の登録情報の確認と変更、メール配信の設定が可能です。なお、メールアドレスを変更されてもログインIDは変更されませんので、ログインの際はご注意下さい。https://line.iqosphere.jp/sso/iqosjp?to=my-iqos（ログインが必要です）その他の問い合わせはカスタマーセンターまで、ご連絡をお願いいたします。▼chatでのお問合せhttps://customercenter-in.iqos.jp/#!/,2018/2/7 11:02
9921761,M,52,1,19,2018/2/4 16:38,1,クーポン購入先は変更できる？,OK,2018/2/6 20:32,20,,,94,IQOSのクーポン・招待コードについて、ですね？IQOSをまだ購入されていない方は、割引クーポンをぜひ使ってみてください！ さらに、新しいIQOS2.4Plusにも割引クーポンが使えます(お1人様各機種1台限りのご優待)▼IQOSキットがお得に買えるhttps://line.iqosphere.jp/sso/iqosjp?to=index.php%3Fdispatch%3Dmypromo.videoこの機会に進化したIQOSをぜひ使ってみてください,2018/2/6 20:32
515094759,F,57,12,1,2018/2/7 11:04,1,いくらアドレス変更しても駄目なんですが？,OK,2018/2/7 12:14,12,,,94,「会員情報/My Account」についてお困りでしょうか？「マイアカウント」では、お客様の登録情報の確認と変更、メール配信の設定が可能です。なお、メールアドレスを変更されてもログインIDは変更されませんので、ログインの際はご注意下さい。https://line.iqosphere.jp/sso/iqosjp?to=my-iqos（ログインが必要です）その他の問い合わせはカスタマーセンターまで、ご連絡をお願いいたします。▼chatでのお問合せhttps://customercenter-in.iqos.jp/#!/,2018/2/7 12:14
509776700,M,85,1,10,2017/6/12 20:03,6,アドレス変更,OK,2018/2/6 20:33,20,,,94,「会員情報/My Account」についてお困りでしょうか？「マイアカウント」では、お客様の登録情報の確認と変更、メール配信の設定が可能です。なお、メールアドレスを変更されてもログインIDは変更されませんので、ログインの際はご注意下さい。https://line.iqosphere.jp/sso/iqosjp?to=my-iqos（ログインが必要です）その他の問い合わせはカスタマーセンターまで、ご連絡をお願いいたします。▼chatでのお問合せhttps://customercenter-in.iqos.jp/#!/,2018/2/6 20:33
513696100,M,25,1,5,2017/9/15 14:23,5,アドレスもIDもパスも忘れました。ログインできないんですがどうしたらいいですか？,OK,2018/2/6 16:13,16,,,94,「会員情報/My Account」についてお困りでしょうか？「マイアカウント」では、お客様の登録情報の確認と変更、メール配信の設定が可能です。なお、メールアドレスを変更されてもログインIDは変更されませんので、ログインの際はご注意下さい。https://line.iqosphere.jp/sso/iqosjp?to=my-iqos（ログインが必要です）その他の問い合わせはカスタマーセンターまで、ご連絡をお願いいたします。▼chatでのお問合せhttps://customercenter-in.iqos.jp/#!/,2018/2/6 16:13
10657514,F,45,1,17,2017/6/9 21:45,6,入力できない,OK,2018/2/7 8:27,8,,,93,「製品登録」についてお困りでしょうか？ご迷惑をおかけしており、申し訳ありません。製品登録ができない、シリアルコードが登録できないなどの場合は、お手数ですが以下のリンクからカスタマーセンターへお問い合わせをお願いします。▼chatでのお問合せ　「製品登録できない」と入力してくださいhttps://customercenter-in.iqos.jp/#!/,2018/2/7 8:27
10459050,M,22,4,18,2018/2/6 18:07,1,登録できない,OK,2018/2/6 18:16,18,,,93,「製品登録」についてお困りでしょうか？ご迷惑をおかけしており、申し訳ありません。製品登録ができない、シリアルコードが登録できないなどの場合は、お手数ですが以下のリンクからカスタマーセンターへお問い合わせをお願いします。▼chatでのお問合せ　「製品登録できない」と入力してくださいhttps://customercenter-in.iqos.jp/#!/,2018/2/6 18:16
7984664,F,36,1,23,2018/2/5 15:17,1,登録できない,OK,2018/2/7 19:08,19,,,93,「製品登録」についてお困りでしょうか？ご迷惑をおかけしており、申し訳ありません。製品登録ができない、シリアルコードが登録できないなどの場合は、お手数ですが以下のリンクからカスタマーセンターへお問い合わせをお願いします。▼chatでのお問合せ　「製品登録できない」と入力してくださいhttps://customercenter-in.iqos.jp/#!/,2018/2/7 19:08
8592308,M,42,5,22,2017/7/7 6:28,6,適切な回答ができないのならこのサービスをやめてください。,NG,2018/2/7 19:58,19,1,,93,メッセージいただき、ありがとうございます。いただきました内容について、今は答えを持ち合わせておりません。。。もっと学習していきますので、また話しかけていただけるとうれしいです♪もし、IQOSが楽しめるSPOT/お店をお探しの場合は、画面下の「メニューはこちら」の「IQOSライフを知る・楽しむ」を押して「IQOSが使える場所」からタップして検索できますよ！,2018/2/7 19:58
